date,price,volume,return_1d,return_3d,return_7d,return_14d,MA7,MA30,MA_diff,vol_7d,vol_MA7,highest_30,lowest_30,pos_channel_30
2025-04-13,75105.76393736854,19747259386.40449,2.176129100214075,-0.464402338448755,-1.5340776275948764,-1.2069582082606334,72562.49078097276,76456.22603816888,-3893.7352571961237,5.779204781389749,46229964060.9981,81135.60723634843,69491.45411311415,0.48215699027968134
2025-04-14,73716.10993431724,25334043606.42295,-1.8502627896976653,4.257335270483975,3.620169431417364,-3.112776214645463,72930.40702912014,76350.7530919118,-3420.3460627916647,5.096527658183872,45152960249.390564,81135.60723634843,69491.45411311415,0.3628134890096372
2025-04-15,74558.64458346224,29246734489.573288,1.1429450765860105,1.43181155642913,2.79521491488961,-2.2540755350908492,73220.0361795851,76259.15502906263,-3039.118849477527,5.0702592478177255,38481282334.11175,81135.60723634843,69491.45411311415,0.43517037406844356
2025-04-16,74064.18809036232,22208387747.717083,-0.6631779532236703,-1.3868121331869987,6.580282475892574,-6.1702983072792765,73873.28389062057,76197.60634567279,-2324.3224550522136,4.686652389365493,35435384825.77489,81135.60723634843,69491.45411311415,0.3927064449301965
2025-04-17,73774.73011218943,23637965103.479088,-0.39082042973284103,0.07952152918055955,-2.2283847593908335,-2.5373410781801886,73633.07616073379,76090.13087272087,-2457.0547119870753,3.2875539328023695,27408361168.663216,81135.60723634843,69491.45411311415,0.3678477905386354
2025-04-18,74681.53145996567,16991841935.412195,1.2291489869190597,0.16481908595571415,5.622739328925941,-0.8232026439495166,74201.02039962495,76057.36500784234,-1856.3446082173905,1.9479310355568593,24605736125.98745,81135.60723634843,69491.45411311415,0.4457239003921591
2025-04-19,74244.36963512853,8398123400.673945,-0.5853680505621184,0.24327755344644153,1.0042625107834935,-2.960701798504717,74306.47682182772,75880.06978209931,-1573.5929602715914,1.3994792817003237,20794907952.811863,81135.60723634843,69491.45411311415,0.4081804380028813
2025-04-20,74853.6619460574,11111085674.290504,0.8206579353063681,1.462468018828722,-0.33566264171331905,-1.864590943817468,74270.4622516404,75787.98425083731,-1517.521999196906,1.1428541033259214,19561168851.08129,81135.60723634843,69491.45411311415,0.46050646845614884
2025-04-21,74302.9027027906,11027412024.104372,-0.7357812950603559,-0.5069911526627502,0.7960170022484947,4.445003597850139,74354.28978999374,75690.1355221088,-1335.8457321150636,0.9010816577967886,17517364339.321495,81135.60723634843,69491.45411311415,0.4132072585060633
2025-04-22,75967.75672781939,34807989606.85384,2.2406312061429956,2.3212360764329754,1.8899379840251251,4.737980727326363,74555.5915249019,75653.89734473915,-1098.3058198372455,1.165993293830997,18311829356.075863,81135.60723634843,69491.45411311415,0.5561849407306991
2025-04-23,82373.97591522612,47396459660.886185,8.432813424199459,10.046688129417337,11.219710954942762,18.53828210464925,75742.70407131103,75760.59208782027,-17.888016509241425,3.215396246259256,21910125343.671448,82373.97591522612,69491.45411311415,1.0
2025-04-24,82601.28894076985,35210733574.36264,0.27595247530320943,11.168320396812149,11.964203481541524,9.4692102351855,77003.64104682252,75819.44217681131,1184.1988700112124,3.156865896804596,23563377982.3691,82601.28894076985,69491.45411311415,1.0
2025-04-25,82541.33295031555,26406144933.3151,-0.07258481220225876,8.653113512418509,10.524424629084184,16.738924920772803,78126.4698311582,75866.29970061021,2260.1701305479946,3.224658902410213,24908278410.640938,82601.28894076985,69491.45411311415,0.9954266402862819
2025-04-26,83097.06460724253,34489966758.14964,0.6732768142495127,0.8778120565171799,11.923725685355357,13.047733703085541,79391.14054146022,75938.27899381141,3452.861547648805,3.1236577310115505,28635684604.566044,83097.06460724253,69491.45411311415,1.0
2025-04-27,83069.09705400318,13556421207.711283,-0.033656487592592654,0.5663448103924607,10.975328252966655,10.602825534502713,80564.7741283096,76015.17396585803,4549.600162451563,3.1782277863899244,28985018252.19758,83097.06460724253,69491.45411311415,0.9979444102672633
2025-04-28,82671.16752167573,14035302743.413506,-0.4790343779333073,0.15729643164150708,11.262365956762066,12.148033306881834,81760.24053100748,76185.26744427592,5574.973086731567,3.148932245316941,29414716926.3846,83097.06460724253,69491.45411311415,0.9686969514708215
2025-04-29,83297.36753699004,27973479858.648018,0.7574587780559972,0.24104693793245424,9.64831808240898,11.72060329469311,82807.32778946043,76427.7352353449,6379.59255411553,3.146716573836508,28438358390.92663,83297.36753699004,69491.45411311415,1.0
2025-04-30,82775.55785512735,22730021930.2271,-0.6264419840530611,-0.35336750884026324,0.4875106918652339,11.761918937309733,82864.69663801776,76650.77221211964,6213.92442589812,0.5317425223325812,24914581572.261044,83297.36753699004,69491.45411311415,0.962203900180898
2025-05-01,83211.48947370166,23436692956.974636,0.5266429243971693,0.6535796798615046,0.7387300376987538,12.791316684129828,82951.86814272229,76881.88824417688,6069.979898545411,0.5557686916678071,23232575769.77704,83297.36753699004,69491.45411311415,0.9937796174253948
2025-05-02,85360.41042729841,26740764839.3788,2.582481057830255,2.4767203950259553,3.4153524982202033,14.299223326797117,83354.59349657698,77096.0787854264,6258.514711150579,1.0758336533787534,23280378613.500427,85360.41042729841,69491.45411311415,1.0
2025-05-03,85692.96390690545,20593773835.41544,0.38958748902722107,3.524477668739001,3.123936220770762,15.420151491676283,83725.4362536717,77429.33157947725,6296.104674194445,1.0729345095696512,21295208195.96697,85692.96390690545,69491.45411311415,1.0
2025-05-04,84867.75783817313,12207386665.60798,-0.9629799590416876,1.9904323008121727,2.165258619581034,13.378231113572369,83982.38779426739,77748.20968419366,6234.178110073728,1.1928669826904432,21102488975.666496,85692.96390690545,69491.45411311415,0.949066100676089
2025-05-05,83301.34777648957,13161186323.241226,-1.8457068992801862,-2.4121986299053155,0.7622733217703903,12.110489289620997,84072.4135449551,77974.60159488395,6097.811950071147,1.4319087511851383,20977615201.35617,85692.96390690545,69491.45411311415,0.8523831321367101
2025-05-06,83747.75363656445,21287585972.22028,0.5358927220153298,-2.269976648787908,0.5406966785287626,10.241182896343215,84136.75441632284,78223.66353664617,5913.090879676674,1.4177785354226746,20022487503.295067,85692.96390690545,69491.45411311415,0.8799364815317123
2025-05-07,85389.76418218843,20584320271.92017,1.9606621960867487,0.6150820491931386,3.1581862989512377,3.661093486692879,84510.21246304587,78698.63246947626,5811.579993569612,1.5336812186183901,19715958694.965508,85692.96390690545,69491.45411311415,0.9812857117283469
2025-05-08,85813.62701717633,56936541480.0631,0.49638600018093726,3.015892668900877,3.127137321940454,3.888968462356468,84881.94639782797,79141.37868570857,5740.567712119402,1.533489019967828,24501651341.121,85813.62701717633,69491.45411311415,1.0
2025-05-09,91820.34626450922,44557858509.5604,6.99972656572434,9.63917511504484,7.567835961511404,11.241656734304284,85804.79437457236,79885.67509075507,5919.1192838172865,2.8770806284914245,27046950436.861233,91820.34626450922,70705.92178772751,1.0
2025-05-10,91518.25408513607,36265875434.739975,-0.3290035288071258,7.177077910499707,6.797862873034766,10.13415999433458,86636.97868574817,80421.07741954637,6215.901266201792,2.9184241546933496,29285822093.90759,91820.34626450922,70705.92178772751,0.985692615978932
2025-05-11,93001.15706528649,19162710519.216732,1.620335740639156,8.37574438692763,9.583615066892914,11.95638373777732,87798.89286105009,81164.25192879835,6634.640932251743,2.7925019658200925,30279439787.28027,93001.15706528649,73506.17467970919,1.0
2025-05-12,92608.06379251336,24390648864.708145,-0.4226756797199638,0.8578899558219222,11.172347464287324,12.019784610193462,89128.42372048205,81800.98156589181,7327.442154590244,2.5636468655778697,31883648721.775547,93001.15706528649,73716.10993431724,0.9796166807317847
2025-05-13,92720.52109819837,38836571941.06072,0.12143359992597968,1.3136909407645447,10.714039567643274,11.312666702250551,90410.24764357261,82388.14013791947,8022.107505653141,2.5956020936294584,34390646717.32418,93001.15706528649,73716.10993431724,0.9854480020099378
2025-05-14,93135.41263308965,30270326016.516827,0.4474646280858252,0.14435902954295088,9.070933179268458,12.515596447074362,91516.76885084421,83035.45022787855,8481.318622965657,2.613058244027573,35774361823.69513,93135.41263308965,73774.73011218943,1.0
2025-05-15,92628.7485963221,25392234727.422962,-0.5440079368774331,0.0223358560385023,7.941770807312065,11.317258208190939,92490.35764786504,83637.78702830723,8852.57061955781,2.6931683781957854,31268032287.60368,93135.41263308965,73774.73011218943,0.9738302595365321
